controlCategory,controlType,controlPeriodocity,control,controlID
NA,Semi-automatic,0.1,Check the correctness of the operation on the position keeping system,3349
NA,Semi-automatic,0.1,Check for stuck or error messages,1489
NA,Semi-automatic,0.1,Check for errors or pending messages,2804
NA,NA,,Verify successful completion of the transfer,5121
NA,Automatic,0.1,Check the valorisation of the fields necessary for the classification of a report in the non-finance area,3142
NA,Automatic,0.1,Verify that required information is entered when opening and closing the incident,4206
NA,Automatic,0.1,Check the enhancement of the priority level of an incident,4512
NA,Automatic,0.1,Check the enhancement of the priority level of an incident.,5694
NA,Automatic,0.1,Verify the closure of the Incident,1785
NA,Automatic,0.1,Verify the correct archiving of incidents,1786
NA,Automatic,0.1,Check the recovery note documentation for an incident,1784
NA,Semi-automatic,1.0,Verify the completeness and correctness of the day-end data downloads,4325
NA,Manual,1.0,Evaluate the acceptability of the price change proposed by the Trader,4185
NA,Semi-automatic,1.0,Check the completeness and correctness of the data received from infoprovider,1320
NA,Semi-automatic,1.0,Verify the completeness and correctness of the day-end data downloads,4326
NA,Manual,0.1,Verify correct updating of the plan and connection of the accounts,5142
NA,Automatic,30.0,Check the outcome of the processing phases of the Financial Engine,1701
NA,Automatic,30.0,Report completion of the preparation of reports and diagnostics,2940
NA,Semi-automatic,30.0,Carry out the performance check of the input data for the Euro Area Sub-consolidated perimeter,1850
NA,Semi-automatic,0.1,Verify the consolidation process of the Euro Area Sub-consolidated perimeter,3820
NA,Semi-automatic,30.0,Verify correct acquisition of the flows received in the Staging Area,1700
NA,NA,,Analyze the changes and verify the performance trends of the balance sheets,5722
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments or investment services,2679
NA,Manual,0.1,Check the documents loaded in the envelope,3362
NA,Manual,0.1,Check the entered data,3069
NA,Manual,0.1,Check the interventions carried out,3415
NA,Manual,30.0,Make the balances of the economic items (Pecobill - NCG),285
NA,Semi-automatic,30.0,Check valuation of accruals on L&R securities,283
NA,Manual,30.0,Make balances between sectional accounting and general accounting,282
NA,Semi-automatic,30.0,Verify correct accounting of the amortized cost,281
NA,Manual,0.1,Check the documentation signed by the Customer,5235
NA,Semi-automatic,1.0,Verify the completeness and correctness of the day-end data downloads,1878
NA,Semi-automatic,1.0,Perform qualitative and quantitative controls,831
NA,Semi-automatic,1.0,Verify the completeness and correctness of the day-end data downloads,1789
NA,Manual,0.1,Carry out the preliminary checks on the possibility of operating on the foreign market for the debtor,2039
NA,Manual,30.0,Check correct compilation of the forms,5278
NA,Semi-automatic,30.0,Check your submissions,5279
NA,Semi-automatic,92.0,Verify the correctness of the information acquired relating to the additional information,4646
NA,Manual,92.0,Check the alignment between the data acquired from the historical archive and accounting,1513
NA,Manual,92.0,Verify the alignment between the data acquired relating to the adjustments on non-performing derivatives and the accounting,1654
NA,Semi-automatic,92.0,Verify the alignment between the balance sheet archive and accounting,1512
NA,Manual,92.0,Reconcile the balance sheet items with the IAS ledger balances generated by the balance sheet archive,758
NA,Semi-automatic,92.0,Examine the Report Generation error logs,757
NA,Manual,92.0,Verify the correctness of the information acquired relating to credit adjustments,3996
NA,Semi-automatic,92.0,Check the imported data,4468
NA,Automatic,92.0,Supervise the processing phases,3321
NA,Manual,7.0,Check criticality level locations to assign,3057
NA,Manual,30.0,Verify the correct assignment of the level of criticality,2266
Operational,NA,,Trace accesses (allowed and denied) to Cloud Azure systems by means of automatic tools,1152
Operational,NA,,Trace the use of the areas and spaces given for viewing by Guest users,2589
Operational,NA,,Ensure that automated deprovisioning processes are operating properly through monitoring systems,4061
Operational,NA,,Ensure that automatic provisioning processes are operating properly through monitoring systems,2699
NA,Semi-automatic,92.0,Carry out formal checks,2554
NA,Semi-automatic,92.0,Perform correctness and consistency checks,2555
NA,Semi-automatic,92.0,Carry out performance and consistency checks,2428
NA,Semi-automatic,92.0,"Oversee the outcome of statistical, performance and consistency checks",5350
NA,Automatic,92.0,Supervise the outcome of the automatic technical checks,5349
NA,NA,,"In the post-sales management phase, check the completeness and correctness of the data in the registry",3548
NA,Manual,0.1,Check data loaded into the system,2479
NA,Manual,7.0,Check outstanding SDD debit provisions,1230
NA,Manual,1.0,Check consistency between billing data and SDD charge flows,2480
NA,Manual,0.1,Check that the amount entered has been paid and communicate Payment made by email to the reference structure.,1645
NA,Manual,0.1,Verify the correctness of the submitted documentation.,381
NA,Manual,0.1,Verify the correctness of the documentation produced,5685
NA,Manual,0.1,Check the correctness of the guaranteed amount,1644
NA,Semi-automatic,0.1,Check the correctness of the data,5106
NA,Semi-automatic,0.1,Check the correctness of the data,5360
NA,Manual,0.1,Check the correctness of the data present in the LRS system,5125
NA,Manual,0.1,Analyze the received data,5124
NA,Manual,0.1,Verify the data present in Hermione,3005
NA,Manual,1.0,Check the correctness of the downloaded database,3780
NA,Manual,1.0,Check that the entered data is correct,3782
NA,Manual,1.0,Verify the correctness of the data entered in the Front Office systems,3781
NA,Manual,365.0,Perform consistency checks,4121
NA,Manual,365.0,Check the correctness and completeness of the uploaded data,649
NA,Manual,365.0,Verify that the tabs are correct,2118
NA,Manual,365.0,Verify the consistency of the acquired data,4673
NA,NA,,Verify the identity of the applicant,5309
NA,NA,,Verify the identity of the applicant,41
NA,NA,,Verify the identity of the applicant,5308
NA,Manual,30.0,Verify the correct recognition of the releases of the provision for risks,15
NA,Semi-automatic,30.0,"Carry out a reconciliation of the fund, of the receivables from the tax authorities in capital and interest accounts, of the related debts by comparing the management with the accounting",4272
NA,Manual,30.0,Check and arrange scraps in Pandora,1227
NA,Manual,30.0,Verify the consistency of interest income and accruals for the period,4131
NA,Manual,92.0,Carry out an analytical reconciliation of the Miscellaneous Items and of the accounting of interest on payables and receivables,1499
NA,Semi-automatic,30.0,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,1498
NA,Semi-automatic,30.0,Verify the correct generation of the event for posting the adjustment entry,3674
NA,Semi-automatic,92.0,Verify the consistency of the provision entered in the system with what was resolved,4956
NA,Semi-automatic,30.0,Verify the correct accounting of the flow transmitted by Pandora in the accounting system,3676
NA,Semi-automatic,30.0,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,3675
NA,Semi-automatic,92.0,Verify the consistency of the provision entered in the system with what was resolved,2087
NA,Semi-automatic,30.0,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,2089
NA,Semi-automatic,30.0,Verify the correct accounting of the flow transmitted by Pandora in the accounting system,2090
NA,Semi-automatic,30.0,Verify the correct generation of the event for posting the adjustment entry,2088
NA,Manual,0.1,Verify the valorisation proposal for the data pertaining to financial risks,2304
NA,Manual,0.1,Check the valorisation proposal for the credit risk data,2305
NA,NA,,Verify the correctness of the communication,3735
NA,NA,,Verify the correctness of the statement,3736
NA,NA,,Verify the existence of the conditions for the delay,356
NA,NA,,Verify the correctness of the communication of the information,1221
NA,Manual,,Definitively check the presence and/or capacity of the credit line,5597
NA,NA,,Check that the Pricing Policy and the Allocation Policy have been sent to the Issuer.,3639
NA,NA,,Check the contents of the mandate,2693
NA,Manual,,Verify the acquisition of consent by the Head of Management for the application of the commission not in line with the DCM Commission Tables.,1335
NA,Manual,,Definitively check the presence or capacity of the credit line,3826
NA,Manual,0.1,Verify the correct compilation and signing of the contractual documentation,3751
NA,Manual,0.1,Verify the correctness of the contractual documentation produced,2678
NA,Manual,0.1,Verify the correct compilation and signing of the contractual documentation,532
NA,Manual,0.1,Verify the correctness of the data entered in the procedure,3750
NA,Manual,0.1,Verify the correctness of the data entered in the procedure,3020
NA,Manual,0.1,Verify the correctness of the contractual documentation produced,640
NA,Manual,0.1,Verify the correct compilation and signing of the contractual documentation,4450
NA,Manual,0.1,Verify the correct compilation and signing of the contractual documentation,2744
NA,Manual,0.1,Verify the correctness of the data entered in the procedure,2743
NA,Manual,0.1,Verify the correctness of the documentation produced,1984
NA,Manual,0.1,Verify the correctness of the data entered in the procedure,153
NA,NA,,Verify the correctness of the contractual documentation produced,1852
NA,NA,," Verify the truthfulness, completeness, adequacy of the data and information",5140
NA,NA,," Verify the truthfulness, completeness, adequacy of the data and information",2212
NA,NA,,Verify the formal correctness of the arrangements,5295
NA,NA,,Verify the formal correctness of the arrangements,5296
NA,NA,,Verify logical and formal differences in procedure,6
NA,NA,,Verify logical and formal differences in procedure,7
NA,NA,,Verify capital gains statement to be sent to customers,5712
