activityType,activityCategory,activity,activityID
process activity,Operational,Carry out the preparatory activities for the accounting of ICT capitalizable internal services,3728
control activity,Other,Carry out a performance check on the final balances,2773
process activity,Operational,Carry out the preparatory activities for the accounting of real estate costs,3730
control activity,Other,Check for anomalies,4416
process activity,Operational,Check out the fiscal asset book,4801
control activity,Other,Carry out proficiency checks,3191
process activity,Operational,Launch the capitalizer,13605
process activity,Operational,Run the depreciation tool,21075
control activity,Other,Verify the correct execution of the automatic depreciation tool,26351
control activity,Other,Check your balances,6390
process activity,Operational,Analyze the type of request received,1652
process activity,Operational,Ask customers to disavow transactions,2048
process activity,Operational,Proceed with SDD chargeback attempt,17324
process activity,Operational,Verify transactions reported with customers,27302
process activity,Operational,Enter the disclaimer in procedure EINV0,9905
process activity,Operational,Inform the branch about the missed contact,13061
